Descriptor,Title,TE,acq,pacq,par,sen,typ,ptyp,etc,b,d,x,val,pval,sel,in,sep,edadd,ttt,EntryDate,UpdateDate,Language,EngSource,Source,TotBlks,TotPars,TotSent,ITS,Translator,MultiBLEU,CT+VT,BLEU,secPerSen,percTopEdits,todxx,todver,Notes
1962-0704,WeWouldSeeJesus,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,11/14/16,7/22/17,AFR,o1,o7,105,255,1564,,MT,NA,101964,NA,65.1943734,,,,No todxo avail
1962-0705,JehovahJireh1 [linoli],linoli,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,11/17/16,3/24/17,AFR,o1,o7,104,232,1474,,MT,NA,46403,NA,31.48100407,,,,No todxo avail
1962-0706,JehovahJireh2 [tilvan],tilvan,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,6/6/15,7/30/17,AFR,o1,o7,96,222,1543,,MT,NA,80812,NA,52.37329877,,,,No todxo avail
1962-0707,JehovahJireh3 [linoli],linoli,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,6/6/15,7/8/17,AFR,o1,o7,96,230,1492,,MT,NA,130580,NA,87.52010724,,,,No todxo avail
1962-0708,ASuperSign [tilvan],tilvan,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,10/8/16,,AFR,o1,o7,98,266,1665,,MT,NA,130443,NA,78.34414414,,,,No todxo avail
1965-1127z,IHaveHeardButNowISee,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,4/4/16,,AFR,,o7,108,243,1332,,MT,NA,114616,NA,86.04804805,,,,No todxo avail
1965-1128x,GodsOnlyProvidedPlaceOfWorship,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1/13/16,,AFR,o1,o7,,292,1564,,MT,NA,87390,NA,55.87595908,,,,No todxo avail
1965-1206,ModernEventsAreMadeClearByProphecy,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1/24/15,,AFR,o1,o7,120,331,1616,,MT,NA,,NA,,,,,no time
1960-0305,BeNotAfraidItIsI,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1/14/17,1/14/17,CHN,o2,o10,80,80,1329,,MT,NA,,NA,,,,,No todxo avail
1947-1123,TheChildrenOfIsrael,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,11/11/16,7/30/17,GER,o1,o11,77,77,1162,,MT,NA,191460,NA,164.767642,,,,No todxo avail
1965-1121,WhatHouseWillYouBuildMe,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,6/11/16,1/14/17,IBO,o1,o11,24,46,221,,MT,NA,,NA,,,,,No todxo avail
1965-1121,WhatHouseWillYouBuildMe,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,6/11/16,7/30/17,KIN,o1,elikwi,24,46,221,,NT,NA,,NA,,,,,no times
1949-0718,IWasNotDisobedientToTheHeavenlyVision [lazbet],lazbet,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,2/3/17,2/26/18,GER,o9,o11,33,33,700,0,MT,"BLEU = 50.81, 79.1/58.6/45.9/36.5 (BP=0.963, ratio=0.963, hyp_len=9988, ref_len=10368)",70829,50.81,101.1842857,19,todgo,2017,
1950-0110,"Moses [lidsur,tobwul]",tobwul,1,1,1,1,1,1,1,1,b,B123,1,1,1,1,1,1,1,5/20/17,4/12/18,GER,o9,o12,57,57,888,0,MT,"BLEU = 41.83, 74.5/49.3/34.7/24.4 (BP=0.996, ratio=0.996, hyp_len=12565, ref_len=12615)",53572,41.83,60.32882883,18,todbo,2017,
